"﻿Campus Name","latitude","longitude"
"Mercy High School","37.7295","-122.473587"
"Saint Anne Elementary School","37.763023","-122.471283"
"Zion Lutheran School","37.77924","-122.467636"
"Our Victorian Schoolhouse","37.777241","-122.438637"
"Nihonmachi Little Friends - Bush St","37.78709","-122.430588"
"Revere, Paul Revere School / Preschool","37.737614","-122.413116"
"Meadows-Livingstone School","37.749626","-122.404839"
"City College of San Francisco Chinatown North Beach Center","37.795555","-122.404701"
"Aptos Middle School","37.729672","-122.465782"
"Good Samaritan Child Development Center","37.751873","-122.40657"
"Lilienthal, Claire Lilienthal (K-2 Madison Campus)","37.787201","-122.458015"
"Archbishop Riordan High School","37.727902","-122.453056"
"Martha Hills Learning Center","37.719162","-122.394241"
"Sunset Elementary School","37.750523","-122.499153"
"Wu Yee Child Development Center - New Generation","37.710182","-122.418098"
"Presidio Middle School","37.780865","-122.489624"
"Bright Horizons - 2Nd St","37.785294","-122.395569"
"Buena Vista Child Care","37.753567","-122.42028"
"Wu Yee Child Development Center - Generations","37.798492","-122.403709"
"Mission Neighborhood Centers - Southeast Families United Childcare","37.739754","-122.383591"
"Wu Yee Child Development Center - Hunters Point/Kirkwood","37.72887","-122.374405"
"Mission Neighborhood Centers - Mission Bay","37.776493","-122.39299"
"Tenderloin Elementary / Early Education","37.781796","-122.419777"
"Bay School Of San Francisco","37.800579","-122.455818"
"Lakeside Presbyterian Center For Children","37.730774","-122.475197"
"Chinese Education Center Elementary School","37.794769","-122.40406"
"Mahler, Theresa S. Mahler Early Education School","37.755276","-122.428093"
"Saint Philip School","37.751759","-122.435539"
"San Francisco Day School","37.778042","-122.446281"
"Denman, James Denman Middle School / Leadership Charter High","37.72131","-122.443184"
"Saint Brigid School","37.795147","-122.424759"
"Harte, Bret Harte Elementary / Early Education","37.717899","-122.389221"
"Rise Institute","37.750324","-122.394058"
"Learning Bridge Preschool","37.760243","-122.472206"
"Larkin Street Youth Services Academy","37.782265","-122.412987"
"Alt School - Dogpatch 2","37.760662","-122.387962"
"Immaculate Conception Academy","37.751667","-122.423416"
"C5 Childrens School - State Building Center","37.78104","-122.417915"
"Lowell High School","37.729435","-122.483055"
"Alt School - North Beach","37.795811","-122.404892"
"Wu Yee Child Development Center - Cadillac","37.784054","-122.41394"
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)","37.80336","-122.443237"
"Lafayette Elementary School","37.777069","-122.496887"
"Woodside International School","37.763432","-122.474747"
"Faces Sf Child Development Program - Haight Ashbury/Masonic","37.770889","-122.445869"
"Mission Neighborhood Centers - Capp Head Start","37.760986","-122.418495"
"Mission Neighborhood Centers - Jean Jacobs","37.720951","-122.429695"
"Jordan, June Jordan High School","37.719536","-122.425148"
"City College of San Francisco Gough Street Location","37.771988","-122.421211"
"Muir, John Muir Elementary / Early Education","37.773758","-122.42868"
"O'Connell, John O'Connell High School","37.759514","-122.413559"
"Saint Charles School","37.762322","-122.416443"
"Friends Of Potrero Hill Preschool","37.75856","-122.389587"
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education","37.783009","-122.429504"
"Angelinas Preschool","37.753666","-122.483765"
"Wu Yee Child Development Center - Golden Gate","37.78167","-122.413559"
"Brown, Willie Brown Jr Middle School","37.736477","-122.399574"
"Chavez, Cesar Chavez Elementary School / Preschool","37.754921","-122.414879"
"Feinstein, Dianne Feinstein Elementary School","37.739685","-122.481369"
"Monroe Elementary / Excelsior Monroe Early Education","37.725399","-122.430489"
"Alt School - Soma","37.774181","-122.410484"
"Chinese Immersion School At Deavila","37.769829","-122.444275"
"Living Hope Christian School","37.714336","-122.435829"
"Happy Times Nursery School","37.748856","-122.476791"
"Voice Of Pentecost Academy","37.726364","-122.463974"
"San Miguel Early Education School","37.721645","-122.44471"
"Ucsf - University Child Care Center - Mission Bay","37.768677","-122.393967"
"Longfellow Elementary School","37.710423","-122.446739"
"Webster, Daniel Webster Out-Of-School (OST) Program","37.760521","-122.395843"
"Mission High School","37.76202","-122.427307"
"Miraloma Elementary School","37.738636","-122.450188"
"Golden Gate Guppies Preschool","37.789124","-122.434509"
"Lands End School","37.782593","-122.504578"
"San Francisco Pacific Academy","37.775639","-122.494286"
"Wells, Ida B. Wells High School","37.775013","-122.433899"
"Munchkinland Preschool And Family Daycare","37.773445","-122.509254"
