name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Potrero Hill Rec Center - Drinking Fountain/Cooler,1795029580672313430,drinking_water,1,0,0,0,37.75609621,-122.39683774,801 Arkansas St,San Francisco,CA,94107,Potrero Hill Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.396837744 37.756096156),10,Potrero Hill,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Precita Park - Drinking Fountain/Cooler,5177847223855817480,drinking_water,1,0,0,0,37.74686045,-122.41325643,3200 Folsom St,San Francisco,CA,94110,Precita Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.413256436 37.746860402),9,Bernal Heights,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Restroom,5493916297522311485,restroom,0,0,0,0,37.77677036001743,-122.406057796802,55 Sherman St,San Francisco,CA,94103,Victoria Manalo Draves Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406057797 37.77677036),6,South of Market,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 7 - Drinking Fountain/Cooler,5726650048499033048,drinking_water,1,0,0,0,37.769174410000005,-122.45878341,Golden Gate Park,San Francisco,CA,94122,Golden Gate Park - Section 7,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.458783423 37.769174355),7,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
St. Mary's Square - Drinking Fountain/Cooler,6764874477716664054,drinking_water,1,0,0,0,37.79172534,-122.40516294000001,633 California St,San Francisco,CA,94108,St. Mary's Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.40516295 37.791725291),3,Financial District/South Beach,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
John McLaren Park - Drinking Fountain/Cooler,1954850550025343093,drinking_water,1,0,0,0,37.72368991,-122.42308907,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.423089082 37.723689856),11,McLaren Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
China Basin Park Water Fountain #5,1815687204750990271,drinking_water,0,1,1,0,37.775948,-122.389857,"3rd St, Mission Bay",San Francisco,CA,94158,,publicly_accessible,,,Daily,On 3rd street,port,POINT (-122.389857 37.775948),6,Mission Bay,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Sgt. John Macaulay Park - Drinking Fountain/Cooler,4627038945983935730,drinking_water,1,0,0,0,37.78538709,-122.41824809,800 O'Farrell St,San Francisco,CA,94109,Sgt. John Macaulay Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.418248098 37.785387038),5,Tenderloin,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Hayes Valley Playground - Drinking Fountain/Cooler,2542937055757276401,drinking_water,1,0,0,0,37.77606960000001,-122.42741293,689 Hayes St,San Francisco,CA,94102,Hayes Valley Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427412942 37.776069548),5,Hayes Valley,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Tenderloin Pit Stop - 474 O'Farrell Street,3273606294984689376,restroom,0,0,0,0,37.7858991,-122.4119361,474 O'Farrell Street,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4119361 37.7858991),5,Tenderloin,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
Drinking Fountain/Cooler,2181557672935071184,drinking_water,1,1,0,0,37.78537896,-122.41809575,,San Francisco,CA,,Sgt. John Macaulay Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.418095763 37.785378904),5,Tenderloin,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,1532798181122981291,drinking_water,1,1,0,0,37.76799815,-122.50821339000001,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.508213397 37.767998097),4,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Restrooms,4390283377851479502,restroom,0,0,0,0,37.73388037458533,-122.44827767552806,233 Melrose Avenue,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448277676 37.733880375),7,West of Twin Peaks,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Anglers Lodge,2320304234735625477,restroom,0,0,0,0,37.76800126751249,-122.49647617853708,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.496476179 37.768001268),4,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 5 - Drinking Fountain/Cooler,9079348554096902607,drinking_water,1,1,0,0,37.76948934,-122.48477770000001,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.484777711 37.76948929),4,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Moscone Rec Center - Drinking Fountain/Cooler,3455732999251252810,drinking_water,1,1,0,0,37.801492,-122.43324,1800 Chestnut St,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433240005 37.801491949),2,Marina,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Restroom,6037412297407470953,restroom,0,0,0,0,37.728526970911986,-122.46602410190815,139 Aptos Ave,San Francisco,CA,94127,Aptos Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.466024102 37.728526971),7,West of Twin Peaks,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Minnie and Lovie Rec Center - Drinking Fountain/Cooler,6322833292705963901,drinking_water,1,0,0,0,37.71604522,-122.45732734,650 Capitol Ave,San Francisco,CA,94112,Minnie and Lovie Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457327353 37.716045167),11,Oceanview/Merced/Ingleside,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Merced Heights Playground - Drinking Fountain/Cooler,273571002168803164,drinking_water,1,0,0,0,37.7174815,-122.47038418,801 Shields St,San Francisco,CA,94132,Merced Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.470384188 37.717481445),11,Oceanview/Merced/Ingleside,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Sharon Arts Studio,7349537812584707784,restroom,0,0,0,0,37.768256203141554,-122.45824806017865,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.45824806 37.768256203),7,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Presidio Heights Playground - Drinking Fountain/Cooler,3897957390348168831,drinking_water,1,0,0,0,37.7885318,-122.44979582,3437 Clay St,San Francisco,CA,94118,Presidio Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449795825 37.788531752),2,Presidio Heights,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 2 - Drinking Fountain/Cooler,194203608777390345,drinking_water,1,1,0,0,37.76828888,-122.45471818,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454718189 37.768288825),5,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Glen Park Branch Library,1697779997800312692,drinking_water,1,0,0,0,37.733980204000034,-122.43383315499995,2825 Diamond St,San Francisco,CA,94131,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:12:00-20:00"",""Thursday:10:00-19:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.433833155 37.733980204),8,Glen Park,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
DuPont Tennis Courts - Drinking Fountain/Cooler,3262834533380929173,drinking_water,1,0,0,0,37.782862370000004,-122.4908413,336 31st Ave,San Francisco,CA,94121,DuPont Tennis Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.490841311 37.782862319),1,Outer Richmond,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Park Aid Station,2135114861101079118,restroom,0,0,0,0,37.76698914381392,-122.45335127496453,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.453351275 37.766989144),5,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Sunnyside Playground - Drinking Fountain/Cooler,8708239296404196705,drinking_water,1,0,0,0,37.733856370000005,-122.44819921,233 Melrose Avenue,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448199217 37.733856318),7,West of Twin Peaks,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Portsmouth Square Clubhouse,5076840125778629956,restroom,0,0,0,0,37.79502053126163,-122.40533899196147,745 Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405338992 37.795020531),3,Chinatown,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Harvey Milk Recreational Arts Bldg,3179317602354845196,restroom,0,0,0,0,37.76957923756153,-122.43457746937769,50 Scott St,San Francisco,CA,94117,Duboce Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434577469 37.769579238),8,Haight Ashbury,2024/08/13 05:11:19 PM,2025/03/01 09:05:55 AM
Mission Pit Stop - SFGH Building 80/90 COVID 19 Pit Stop,175034497487408157,restroom,0,0,0,0,37.7571167,-122.4056906,SFGH Building 80/90 COVID 19 Pit Stop,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4056906 37.7571167),10,Mission,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
