Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts,,FixedLocations
Chinese Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS017,5,10,PS,3.87E+13,"657 MERCHANT ST, SAN FRANCISCO, CA 94111",3,6075,SAN FRANCISCO,"CA
(37.794769, -122.40406)",4,"28,860",3,1,10,,"CA (37.794769, -122.40406)"
"Mahler, Theresa S. Mahler Early Education School",SFUSD,-2,-1,PK,USD PreK,CDC085,3,4,CDC,3.87E+13,"990 CHURCH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.755276, -122.428093)",22,"28,862",2,4,5,,"CA (37.755276, -122.428093)"
Saint Philip School,Private,0,8,K-8,Independent / Private,IND305,5,13,IND,3.87E+13,"665 ELIZABETH ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.751759, -122.435539)",22,"28,862",2,4,5,,"CA (37.751759, -122.435539)"
San Francisco Day School,Private,0,8,K-8,Independent / Private,IND314,5,13,IND,3.87E+13,"350 MASONIC AVE, SAN FRANCISCO, CA 94118",5,6075,SAN FRANCISCO,"CA
(37.778042, -122.446281)",16,54,15,5,11,,"CA (37.778042, -122.446281)"
"Denman, James Denman Middle School / Leadership Charter High",SFUSD,6,8,8-Jun,USD Grades 6-8,PS024,11,13,PS,3.87E+13,"241 ONEIDA AVE, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.72131, -122.443184)",25,"28,861",9,7,6,,"CA (37.72131, -122.443184)"
Saint Brigid School,Private,0,8,K-8,Independent / Private,IND291,5,13,IND,3.87E+13,"2230 FRANKLIN ST, SAN FRANCISCO, CA 94109",2,6075,SAN FRANCISCO,"CA
(37.795147, -122.424759)",27,"28,858",13,9,1,,"CA (37.795147, -122.424759)"
"Harte, Bret Harte Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS043,3,10,PS,3.87E+13,"1035 GILMAN AVE, San Francisco, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.717899, -122.389221)",1,58,10,3,8,,"CA (37.717899, -122.389221)"
Rise Institute,Private,0,12,K-12,Independent / Private,IND286,5,17,IND,3.87E+13,"1760 CESAR CHAVEZ STE R, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.750324, -122.394058)",1,58,10,3,8,,"CA (37.750324, -122.394058)"
Learning Bridge Preschool,Private,-2,-1,PK,Independent / Private,CDC073,3,4,CDC,384000353,"1050 KIRKHAM ST, SAN FRANCISCO, CA 94122",7,6075,SAN FRANCISCO,"CA
(37.760243, -122.472206)",12,56,1,8,4,,"CA (37.760243, -122.472206)"
Larkin Street Youth Services Academy,SFUSD,7,12,12-Jul,USD County School,PS060,12,17,PS,,"134 GOLDEN GATE AVE, SAN FRANCISCO CA 94102",6,6075,SAN FRANCISCO,"CA
(37.782265, -122.412987)",36,"28,852",7,10,9,,"CA (37.782265, -122.412987)"
