resource_type,latitude,longitude,UTM_Easting,UTM_Northing
restroom,37.783353,-122.41769,551275.5221500109,4181937.672527499
drinking_water,37.79429085,-122.41169429,551795.8457361129,4183154.52668987
restroom,37.73559816229882,-122.478895784974,545915.4933437776,4176607.53894405
drinking_water,37.74789871,-122.49752443,544266.7506747968,4177963.2900012196
restroom,37.73712250106413,-122.42058678323949,551052.2068685617,4176806.8613500064
restroom,37.75167265818647,-122.45588190223847,547932.9381032451,4178402.5171628995
drinking_water,37.76334875500004,-122.47631075399994,546126.0380979913,4179687.6970903245
drinking_water,37.7501238,-122.41247425,551757.955342479,4178253.794006405
restroom,37.738312761309125,-122.41599756145315,551455.7437278524,4176941.431767525
drinking_water,37.75609621,-122.39683774,553131.191985282,4178925.1899158666
drinking_water,37.74686045,-122.41325643,551691.3187122071,4177891.296933307
restroom,37.77677036001743,-122.406057796802,552304.447584355,4181213.7743549766
drinking_water,37.769174410000005,-122.45878341,547666.1015412111,4180342.833330771
drinking_water,37.79172534,-122.40516294,552372.6976168952,4182873.5228289976
drinking_water,37.72368991,-122.42308907,550840.91125286,4175315.174989377
drinking_water,37.775948,-122.389857,553731.7501315924,4181131.717788215
drinking_water,37.78538709,-122.41824809,551224.974902547,4182163.0478127995
drinking_water,37.77606960000001,-122.42741293,550424.3062491063,4181124.297498892
restroom,37.7858991,-122.4119361,551780.4119106323,4182223.3315950288
drinking_water,37.78537896,-122.41809575,551238.3946190757,4182162.22925792
drinking_water,37.76799815,-122.50821339,543313.3553329551,4180188.291454874
restroom,37.73388037458533,-122.44827767552806,548614.4575321312,4176432.411811659
restroom,37.76800126751249,-122.49647617853708,544347.0971010822,4180194.13669088
drinking_water,37.76948934,-122.4847777,545376.5204635898,4180364.846882104
drinking_water,37.801492,-122.43324,549894.0500250697,4183941.7732832674
restroom,37.72852697091199,-122.46602410190816,547054.1248903457,4175829.393926793
drinking_water,37.71604522,-122.45732734,547828.5173035443,4174448.973660159
drinking_water,37.7174815,-122.47038418,546676.8416426321,4174601.7382375686
restroom,37.768256203141554,-122.45824806017863,547713.841286585,4180241.2321638865
drinking_water,37.7885318,-122.44979582,548445.0289365493,4182495.1377972313
drinking_water,37.76828888,-122.45471818,548024.7104511575,4180246.663948659
drinking_water,37.733980204000034,-122.43383315499996,549887.165312002,4176451.0867779
drinking_water,37.78286237,-122.4908413,544834.4080146292,4181845.6464953297
restroom,37.76698914381392,-122.45335127496452,548145.9417279288,4180103.162196259
drinking_water,37.733856370000005,-122.44819921,548621.3871950789,4176429.789291442
restroom,37.79502053126163,-122.40533899196149,552354.871494901,4183239.0246290774
restroom,37.76957923756153,-122.43457746937769,549797.7160542955,4180400.3588426667
restroom,37.7571167,-122.4056906,552350.6374244972,4179033.4222918698
restroom,37.722952321382685,-122.41856158698464,551240.4122754559,4175235.808613095
restroom,37.7801432,-122.4130822,551683.5023013216,4181584.0836487385
drinking_water,37.765307750000005,-122.44027741,549298.5442061324,4179923.422385136
drinking_water,37.75124303,-122.43900085,549420.3364454911,4178363.6312831836
drinking_water,37.72092385,-122.4169242,551386.1128322376,4175011.6504410817
restroom,37.72518013090619,-122.44422317580953,548977.4484478966,4175469.2478180313
drinking_water,37.76624576,-122.45578885,547931.7311211235,4180019.432816634
restroom,37.78453259984284,-122.43517781586444,549734.8228089708,4182059.1033577584
drinking_water,37.78749354,-122.46841839,546805.9696896778,4182370.4582766956
drinking_water,37.779081776000055,-122.41615205,551413.9066457258,4181464.6272194386
restroom,37.77375254047893,-122.45599542644344,547908.6930005332,4180852.1967344293
restroom,37.720234550340486,-122.43358551158578,549918.2118919076,4174926.161889376
drinking_water,37.8829335,-119.85584307,776521.2622514537,4197487.932894308
restroom,37.72560824692619,-122.49952830769824,544103.4348569084,4175489.2578243376
drinking_water,37.77133061999999,-122.49904042,544119.2757596553,4180562.3118170514
restroom,37.809195,-122.416145,551393.6624963868,4184805.6823491077
drinking_water,37.76699475,-122.45742193,547787.4135405394,4180101.6969697457
drinking_water,37.783196,-122.461368,547429.5103640775,4181897.2020455147
drinking_water,37.74316235800006,-122.47934506399996,545871.2382979866,4177446.5534441643
drinking_water,37.76416762,-122.42024527,551063.708753194,4179807.671242195
restroom,37.7644801806687,-122.50495827514384,543602.1118243437,4179799.4894611062
drinking_water,37.71242807,-122.48940363,545003.6379755171,4174031.762084767
restroom,37.76820061034034,-122.45894632494796,547652.3780681601,4180234.7082728953
drinking_water,37.71454851,-122.40582609,552368.6789461117,4174310.465438025
drinking_water,37.72925378,-122.40981943,552006.4323705736,4175939.765059835
restroom,37.79124662417517,-122.43816772732552,549467.0712529907,4182802.4344003866
drinking_water,37.75684016,-122.486904,545196.949013563,4178960.4071576926
drinking_water,37.77856950700004,-122.49725809499996,544271.9283408073,4181366.3005407485
restroom,37.73197548973464,-122.44079024379074,549275.4727139048,4176224.9824494533
drinking_water,37.78787928,-122.40697735,552215.6520880075,4182445.789187445
restroom,37.77906456359353,-122.45837511234984,547695.7073105647,4181440.344705054
drinking_water,37.88092731,-119.85141529,776918.2934706502,4197278.410784489
drinking_water,37.73655273,-122.44078843,549272.5990420816,4176732.820875583
drinking_water,37.80137363200004,-122.434135665,549815.2800666578,4183928.1626907573
restroom,37.740119,-122.37597,554981.2216543024,4177164.5888621756
drinking_water,37.76845387,-122.45704845,547819.3683329191,4180263.7756480225
restroom,37.75003212278121,-122.40660090433184,552275.4356261377,4178246.8871355816
drinking_water,37.7594717,-122.42710577,550462.6339720828,4179282.9412473235
drinking_water,37.794609220000005,-122.4055779,552334.127627338,4183193.2560018613
drinking_water,37.76985328000001,-122.43960653,549354.6124742813,4180428.098254317
restroom,37.73797742460086,-122.3841349638076,554263.3898733042,4176922.2191107306
